"STAT_AREA" "GNMFSAREA"
"420" "595432" "610"
"421" "595433" "610"
"422" "595434" "610"
"423" "595502" "610"
"424" "595503" "610"
"425" "595504" "610"
"426" "595505" "610"
"427" "595506" "610"
"428" "595531" "610"
"429" "595532" "610"
"430" "595533" "610"
"431" "595631" "508"
"432" "595632" "508"
"433" "595700" "508"
"434" "595730" "508"
"435" "595801" "514"
"436" "595802" "514"
"437" "595831" "514"
"438" "595832" "514"
"439" "595833" "514"
"440" "596602" "400"
"441" "596632" "400"
"442" "605100" "610"
"443" "605130" "610"
"444" "605200" "610"
"445" "605230" "610"
"446" "605300" "610"
"447" "605330" "610"
"448" "605400" "610"
"449" "605431" "610"
"450" "605432" "610"
"451" "605501" "610"
"452" "605502" "610"
"453" "605503" "610"
"454" "605504" "610"
"455" "605505" "610"
"456" "605506" "610"
"457" "605507" "610"
"458" "605531" "610"
"459" "605532" "610"
"460" "605533" "610"
"461" "605534" "512"
"462" "605535" "512"
"463" "605601" "512"
"464" "605602" "512"
"465" "605630" "512"
"466" "605700" "512"
"467" "605730" "512"
"468" "605800" "514"
"469" "605831" "514"
"470" "605832" "514"
"471" "605833" "514"
"472" "605834" "514"
"473" "606602" "400"
"474" "606632" "400"
"475" "615030" "610"
"476" "615100" "610"
"477" "615130" "610"
"478" "615200" "610"
"479" "615230" "610"
"480" "615300" "610"
"481" "615330" "610"
"482" "615400" "610"
"483" "615431" "610"
"484" "615432" "610"
"485" "615501" "610"
"486" "615502" "610"
"487" "615503" "610"
"488" "615504" "610"
"489" "615505" "610"
"490" "615506" "610"
"491" "615507" "610"
"492" "615508" "610"
"493" "615509" "610"
"494" "615531" "610"
"495" "615532" "610"
"496" "615533" "512"
"497" "615534" "512"
"498" "615601" "512"
"499" "615602" "512"
"500" "615630" "512"
"501" "615700" "512"
"502" "615730" "512"
"503" "615800" "514"
"504" "615831" "514"
"505" "615832" "514"
"506" "615833" "514"
"507" "615834" "514"
"508" "615902" "514"
"509" "615932" "514"
"510" "616331" "514"
"511" "616332" "514"
"512" "616333" "514"
"513" "616401" "514"
"514" "616402" "514"
"515" "616403" "514"
"516" "616432" "514"
"517" "616602" "400"
"518" "616632" "400"
"519" "625030" "610"
"520" "625100" "610"
"521" "625130" "610"
"522" "625200" "610"
"523" "625230" "610"
"524" "625300" "610"
"525" "625330" "610"
"526" "625401" "610"
"527" "625402" "610"
"528" "625403" "610"
"529" "625404" "610"
"530" "625431" "610"
"531" "625432" "610"
"532" "625433" "610"
"533" "625434" "610"
"534" "625435" "610"
"535" "625436" "610"
"536" "625437" "610"
"537" "625438" "610"
"538" "625501" "610"
"539" "625502" "610"
"540" "625503" "516"
"541" "625504" "516"
"542" "625531" "516"
"543" "625532" "516"
"544" "625600" "516"
"545" "625630" "516"
"546" "625700" "516"
"547" "625730" "516"
"548" "625800" "514"
"549" "625831" "514"
"550" "625832" "514"
"551" "625901" "514"
"552" "625931" "514"
"553" "625932" "514"
"554" "626301" "514"
"555" "626302" "514"
"556" "626331" "514"
"557" "626332" "514"
"558" "626401" "514"
"559" "626402" "514"
"560" "626403" "514"
"561" "626433" "514"
"562" "626602" "400"
"563" "626631" "400"
"564" "626632" "400"
"565" "626702" "400"
"566" "635030" "610"
"567" "635100" "610"
"568" "635130" "610"
"569" "635200" "610"
"570" "635230" "610"
"571" "635300" "610"
"572" "635330" "610"
"573" "635400" "610"
"574" "635431" "509"
"575" "635432" "610"
"576" "635433" "610"
"577" "635434" "610"
"578" "635435" "610"
"579" "635436" "610"
"580" "635501" "509"
"581" "635502" "610"
"582" "635503" "509"
"583" "635504" "509"
"584" "635530" "509"
"585" "635600" "509"
"586" "635630" "509"
"587" "635700" "509"
"588" "635730" "509"
"589" "635800" "514"
"590" "635830" "514"
"591" "635900" "514"
"592" "635931" "514"
"593" "635932" "514"
"594" "636301" "514"
"595" "636302" "514"
"596" "636330" "514"
"597" "636401" "514"
"598" "636402" "514"
"599" "636403" "514"
"600" "636602" "400"
"601" "636631" "400"
"602" "636632" "400"
"603" "636701" "400"
"604" "636702" "400"
"605" "636732" "400"
"606" "645000" "610"
"607" "645030" "610"
"608" "645100" "610"
"609" "645130" "610"
"610" "645200" "610"
"611" "645230" "610"
"612" "645300" "610"
"613" "645331" "610"
"614" "645332" "610"
"615" "645401" "610"
"616" "645402" "610"
"617" "645403" "610"
"618" "645406" "610"
"619" "645407" "610"
"620" "645408" "610"
"621" "645410" "519"
"622" "645411" "519"
"623" "645412" "610"
"624" "645413" "610"
"625" "645431" "610"
"626" "645432" "610"
"627" "645433" "509"
"628" "645434" "509"
"629" "645435" "509"
"630" "645501" "509"
"631" "645502" "509"
"632" "645530" "509"
"633" "645600" "509"
"634" "645630" "509"
"635" "645700" "509"
"636" "645730" "509"
"637" "645800" "514"
"638" "645830" "514"
"639" "645900" "514"
"640" "645931" "514"
"641" "645932" "514"
"642" "646001" "514"
"643" "646002" "514"
"644" "646231" "514"
"645" "646232" "514"
"646" "646301" "514"
"647" "646302" "514"
"648" "646330" "514"
"649" "646401" "514"
"650" "646402" "514"
"651" "646403" "514"
"652" "646602" "400"
"653" "646631" "400"
"654" "646632" "400"
"655" "646701" "400"
"656" "646702" "400"
"657" "646731" "400"
"658" "646732" "400"
"659" "655000" "610"
"660" "655030" "610"
"661" "655100" "610"
"662" "655130" "610"
"663" "655200" "610"
"664" "655230" "610"
"665" "655300" "610"
"666" "655330" "610"
"667" "655404" "610"
"668" "655405" "610"
"669" "655406" "519"
"670" "655407" "519"
"671" "655408" "519"
"672" "655409" "519"
"673" "655410" "519"
"674" "655411" "519"
"675" "655412" "610"
"676" "655413" "610"
"677" "655430" "517"
"678" "655500" "517"
"679" "655530" "517"
"680" "655600" "517"
"681" "655630" "513"
"682" "655700" "513"
"683" "655730" "513"
"684" "655800" "514"
"685" "655830" "514"
"686" "655900" "514"
"687" "655931" "514"
"688" "655932" "514"
"689" "656001" "514"
"690" "656002" "514"
"691" "656003" "514"
"692" "656031" "514"
"693" "656032" "514"
"694" "656101" "514"
"695" "656102" "514"
