"","strategy.permit","CHNK_earn.bySpec","CHUM_earn.bySpec","COHO_earn.bySpec","DCRB_earn.bySpec","KCRB_earn.bySpec","PCOD_earn.bySpec","PHLB_earn.bySpec","PINK_earn.bySpec","PLCK_earn.bySpec","POUND_earn.bySpec","SABL_earn.bySpec","SAC_earn.bySpec","SOCK_earn.bySpec","TCRB_earn.bySpec"
"4607","M09G S01L T09L",NA,NA,NA,NA,NA,0.302601024932451,NA,NA,NA,NA,NA,NA,0.456335508245315,0.146197157950796
"4608","M09G S01M",NA,0.116872679517381,NA,NA,NA,0.382916965920801,NA,0.203043640137314,NA,NA,NA,NA,0.268724363819216,NA
"4609","M09G S01M S04M T09M",NA,NA,NA,NA,NA,0.155775124350366,NA,0.278841223100861,NA,NA,NA,NA,0.337225583625394,0.180067542584621
"4610","M09G S01M T09L",NA,NA,NA,NA,NA,0.287654148682366,NA,0.156744843498803,NA,NA,NA,NA,0.251861160654791,0.203462782529553
"4611","M09G S01M T09M",NA,0.119417608785484,NA,NA,NA,0.236176858286294,NA,0.135911075423895,NA,NA,NA,NA,0.24685438920087,0.246341242100792
"4612","M09G S03A",NA,0.217243483930623,NA,NA,NA,0.696102458840337,NA,NA,NA,NA,NA,NA,NA,NA
"4613","M09G S03M",NA,NA,NA,NA,NA,0.567239398154299,NA,NA,NA,NA,NA,NA,0.391394666522067,NA
"4614","M09G S03M T09M",NA,NA,NA,NA,NA,0.498253534151051,NA,NA,NA,NA,NA,NA,0.253575918843824,0.209854856746711
"4615","M09G S03T",NA,NA,NA,NA,NA,0.393166477488864,NA,NA,NA,NA,NA,NA,0.598070987537003,NA
"4616","M09G S04M",NA,NA,NA,NA,NA,0.591172293340767,NA,NA,NA,NA,NA,NA,0.375003057069967,NA
"4617","M09G S04M T09M",NA,NA,NA,NA,NA,0.46589843944355,NA,NA,NA,NA,NA,NA,0.323614989220345,0.179646150676043
"4618","M09G T09L",NA,NA,NA,NA,NA,0.566830242751734,NA,NA,NA,NA,NA,NA,NA,0.43012485536832
"4619","M09G T09M",NA,NA,NA,NA,NA,0.554309186381929,NA,NA,NA,NA,NA,NA,NA,0.443320546976176
"4620","M09G TB9BK",NA,NA,NA,NA,NA,0.598689235489534,NA,NA,NA,NA,NA,NA,NA,0.401310764510466
