p_fshy,description,pfshy_species,pfshy_gear,pfshy_area
M7GB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 60' TO UNDER 90', STATEWIDE",misc. saltwater finfish, otter trawl vessel 60' to under 90', statewide
M7GG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 60' TO UNDER 90', GOA",misc. saltwater finfish, otter trawl vessel 60' to under 90', goa
M7HB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 90' TO 125', STATEWIDE",misc. saltwater finfish, otter trawl vessel 90' to 125', statewide
M7HG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL 90' TO 125', GOA",misc. saltwater finfish, otter trawl vessel 90' to 125', goa
M7IB,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL OVER 125', STATEWIDE",misc. saltwater finfish, otter trawl vessel over 125', statewide
M7IG,"MISC. SALTWATER FINFISH , OTTER TRAWL VESSEL OVER 125', GOA",misc. saltwater finfish, otter trawl vessel over 125', goa
M91B,"MISC. SALTWATER FINFISH , POT GEAR VESSEL 60' OR OVER, STATEWIDE",misc. saltwater finfish, pot gear vessel 60' or over, statewide
M91G,"MISC. SALTWATER FINFISH , POT GEAR VESSEL 60' OR OVER, GOA",misc. saltwater finfish, pot gear vessel 60' or over, goa
M99B,"MISC. SALTWATER FINFISH , OTHER GEAR, STATEWIDE",misc. saltwater finfish, other gear, statewide
N09B,"SNAILS , POT GEAR VESSEL UNDER 60', STATEWIDE",snails, pot gear vessel under 60', statewide
N91B,"SNAILS , POT GEAR VESSEL 60' OR OVER, STATEWIDE",snails, pot gear vessel 60' or over, statewide
N99B,"SNAILS , OTHER GEAR, STATEWIDE",snails, other gear, statewide
O06B,"OCTOPI/SQUID , LONGLINE VESSEL UNDER 60', STATEWIDE",octopi/squid, longline vessel under 60', statewide
O09B,"OCTOPI/SQUID , POT GEAR VESSEL UNDER 60', STATEWIDE",octopi/squid, pot gear vessel under 60', statewide
O26B,"OCTOPI/SQUID , MECHANICAL JIG, STATEWIDE",octopi/squid, mechanical jig, statewide
O61B,"OCTOPI/SQUID , LONGLINE VESSEL 60' OR OVER, STATEWIDE",octopi/squid, longline vessel 60' or over, statewide
O91B,"OCTOPI/SQUID , POT GEAR VESSEL 60' OR OVER, STATEWIDE",octopi/squid, pot gear vessel 60' or over, statewide
O99B,"OCTOPI/SQUID , OTHER GEAR, STATEWIDE",octopi/squid, other gear, statewide
P07A,"SHRIMP , OTTER TRAWL, SOUTHEAST",shrimp, otter trawl, southeast
P07D,"SHRIMP , OTTER TRAWL, YAKUTAT",shrimp, otter trawl, yakutat
P07E,"SHRIMP , OTTER TRAWL, PRINCE WILLIAM SOUND",shrimp, otter trawl, prince william sound
P07H,"SHRIMP , OTTER TRAWL, COOK INLET",shrimp, otter trawl, cook inlet
