stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
575602,NA,AB (Groundfish-Salmon),575602,Alaska Peninsula,4,,Alaska Peninsula
575603,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575604,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575605,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575631,NA,AB (Groundfish-Salmon),575602,Alaska Peninsula,4,,Alaska Peninsula
575632,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575633,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575634,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575635,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
575731,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
575732,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
575801,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
575802,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
575830,Bristol Bay,AB (Groundfish-Salmon),NA,,NA,,Bristol Bay
580157,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
580158,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
580159,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
580160,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
580161,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580165,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580167,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580172,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580173,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580174,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580175,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
580178,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583157,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
583158,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
583159,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
583160,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
583161,Bristol Bay,AB (IPHC),NA,,NA,,Bristol Bay
583162,Kuskokwim,AB (IPHC),NA,,NA,,Kuskokwim
583165,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583166,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583168,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583172,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583173,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583174,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583175,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583176,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583177,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
583178,Bering Sea,AB (IPHC),NA,,NA,,Bering Sea
584800,NA,AB (Groundfish-Salmon),584800,Unassigned,NA,Outside EEZ,Unassigned
584930,NA,AB (Groundfish-Salmon),584930,NA,NA,Possible typo,Unassigned
585400,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585430,NA,AB (Groundfish-Salmon),585430,Alaska Peninsula,4,"585430 Split into 585430, 585432. Groundfish Area K,L,M split; King Crab Area K,M split",Alaska Peninsula
585431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585500,NA,AB (Groundfish-Salmon),585500,Alaska Peninsula,4,,Alaska Peninsula
585501,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585531,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
585532,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
