stat6,region,assigned_by,Suggested_Change,Anne_Region,ADF.G_Region,Notes,final
625401,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625402,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625403,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625404,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625433,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625434,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625435,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625436,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625437,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625438,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625500,NA,AB (Groundfish-Salmon),625500,Alaska Peninsula,4,,Alaska Peninsula
625501,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625503,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625504,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625531,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
625532,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
625600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
625630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
625700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
625730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
625800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
625831,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
625832,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
625901,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
625931,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
626331,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
626332,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
626401,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
626402,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
626403,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
626432,NA,AB (Groundfish-Salmon),626432,Norton Sound,3,"Significant bounday change, assigned new number. Reconfigure Norton Sound",Norton Sound
626433,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
626632,Kotzebue,AB (Groundfish-Salmon),NA,,NA,,Kotzebue
630168,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
630173,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
633165,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
633166,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
633170,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
635230,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
635300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
635330,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635400,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635433,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635434,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635435,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635436,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635501,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635503,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
635504,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635580,NA,AB (Groundfish-Salmon),NA,,NA,,Unassigned
635600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
635830,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
635900,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
635931,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
636330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
636401,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
636402,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
636403,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
640164,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
640165,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
640166,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
640167,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
640168,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
643166,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
643168,Norton Sound,AB (IPHC),NA,,NA,,Norton Sound
645000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
645030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
645200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
645300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
645331,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645332,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645401,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645402,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645403,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645404,NA,AB (Groundfish-Salmon),645404,Bering Sea,4,"645404 Split into 645410, 645412. Bering Sea-Pacfic Ocean demarcation",Alaska Peninsula
645405,NA,AB (Groundfish-Salmon),645405,Bering Sea,4,"645405 Split into 645411, 645413. Bering Sea-Pacfic Ocean demarcation",Alaska Peninsula
645406,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645407,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645408,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645410,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645411,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645412,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645413,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
645431,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645432,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645433,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645434,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645435,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645500,NA,AB (Groundfish-Salmon),645500,Bering Sea,4,,Bering Sea
645501,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645502,Alaska Peninsula,AB (Groundfish-Salmon),NA,,NA,,Alaska Peninsula
645530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
645931,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
645932,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
646001,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
646301,Yukon,AB (Groundfish-Salmon),NA,,NA,,Yukon
646330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
646401,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
646402,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
646403,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
655000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
655200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
655230,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
655300,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655301,NA,AB (Groundfish-Salmon),655301,Eastern Aleutians,4,,Eastern Aleutians
655330,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655401,NA,AB (Groundfish-Salmon),655401,Eastern Aleutians,4,,Eastern Aleutians
655402,NA,AB (Groundfish-Salmon),655402,Eastern Aleutians,4,,Eastern Aleutians
655403,NA,AB (Groundfish-Salmon),655403,Eastern Aleutians,4,,Eastern Aleutians
655404,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655405,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655406,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655407,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655408,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655409,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655410,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655411,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655412,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655413,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
655430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655500,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655501,NA,AB (Groundfish-Salmon),655501,Bering Sea,4,,Bering Sea
655530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
655930,NA,AB (Groundfish-Salmon),655930,Bering Sea,4,,Bering Sea
655931,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
655932,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
656001,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
656002,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
656003,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
656031,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
656032,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
656231,Yukon,AB (Groundfish-Salmon),NA,,NA,,Yukon
656300,Yukon,AB (Groundfish-Salmon),NA,,NA,,Yukon
656330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
656401,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
656402,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
656403,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
656430,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
657600,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
665300,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665301,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665302,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665331,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665332,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665333,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665334,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665335,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665336,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665337,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665338,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665401,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665402,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665403,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665404,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665405,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665409,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
665430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665500,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
665931,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
665932,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
666001,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
666002,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
666031,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
666131,Yukon,AB (Groundfish-Salmon),NA,,NA,,Yukon
666300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
666330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
666401,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
666402,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
666431,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
666432,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
675200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
675230,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675301,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675302,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675303,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675304,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675305,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675331,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675332,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675333,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675334,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675400,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
675430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675500,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675567,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
675931,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
675932,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
676001,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
676002,Kuskokwim,AB (Groundfish-Salmon),NA,,NA,,Kuskokwim
676300,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
676330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
676400,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
676430,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
676501,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
685030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
685060,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685200,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
685231,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685232,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685233,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685301,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685302,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685303,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685304,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685305,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685331,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685332,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685333,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
685400,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685500,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685660,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
685930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
686000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
686030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
686230,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
686301,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
686302,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
686400,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
686431,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
686500,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
686530,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
695130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
695200,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695231,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695232,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695233,NA,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695234,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695235,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695236,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695237,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695238,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695239,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695240,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695241,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695301,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695302,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
695330,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695400,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695500,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695631,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695632,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695700,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695701,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
695930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
696000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
696030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
696301,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
696302,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
696330,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
705030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
705130,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
705200,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
705231,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
705232,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
705233,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
705234,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
705300,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
705330,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705400,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705430,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705500,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705530,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705600,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705630,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705701,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705702,NA,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705703,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705730,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705800,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705830,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705900,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
705930,Bering Sea,AB (Groundfish-Salmon),NA,,NA,,Bering Sea
706000,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
706030,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
706100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
706230,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
706331,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
706332,Norton Sound,AB (Groundfish-Salmon),NA,,NA,,Norton Sound
715100,Unassigned,AB (Groundfish-Salmon),NA,,NA,,Unassigned
715130,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
715201,Eastern Aleutians,AB (Groundfish-Salmon),NA,,NA,,Eastern Aleutians
